TimeStamp;NodeID;NodeCount;Schema;SF;WorkerCount;Item name;CPU ns;USER ns;BLOCKED#;BLOCKED ns;WAITED#;WAITED ns;SUMM all times;Running %;Running total%
1588314303866;1;1;item;140.0;1;ALL#SCHEDULERS;4542044;0;0;0;0;0;4542044;100.0;2.72
1588314303866;1;1;item;140.0;1;ALL#worker#0;181348496;150000000;0;0;2;0;181348496;100.0;69.693
1588314303866;1;1;item;140.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#websales_home_myshop;3436360;0;0;0;0;0;3436360;100.0;2.302
1588314303866;1;1;item;140.0;1;pdgf.core.dataGenerator.worker.RowWorker#worker#0;181252508;150000000;0;0;2;0;181252508;100.0;69.656
1588314397967;1;1;item;140.0;1;ALL#SCHEDULERS;3277623;0;0;0;0;0;3277623;100.0;2.591
1588314397967;1;1;item;140.0;1;ALL#worker#0;186133650;160000000;0;0;2;0;186133650;100.0;91.356
1588314397967;1;1;item;140.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#websales_home_myshop;2517463;0;0;0;0;0;2517463;100.0;2.222
1588314397967;1;1;item;140.0;1;pdgf.core.dataGenerator.worker.RowWorker#worker#0;186060144;160000000;0;0;2;0;186060144;100.0;91.32
1588320005806;1;1;item;1.0;1;ALL#SCHEDULERS;3415400;0;0;0;0;0;3415400;100.0;8.943
1588320005806;1;1;item;1.0;1;ALL#worker#0;20915325;10000000;0;0;2;0;20915325;100.0;49.64
1588320005806;1;1;item;1.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#websales_home_myshop;2606040;0;0;0;0;0;2606040;100.0;7.061
1588320005806;1;1;item;1.0;1;pdgf.core.dataGenerator.worker.RowWorker#worker#0;20830056;10000000;0;0;2;0;20830056;100.0;49.442
1588320124979;1;1;item;82.0;1;ALL#SCHEDULERS;3555002;0;0;0;0;0;3555002;100.0;2.526
1588320124979;1;1;item;82.0;1;ALL#worker#0;217059051;190000000;0;0;2;0;217059051;100.0;94.158
1588320124979;1;1;item;82.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#websales_home_myshop;2673115;0;0;0;0;0;2673115;100.0;2.147
1588320124979;1;1;item;82.0;1;pdgf.core.dataGenerator.worker.RowWorker#worker#0;216941642;190000000;0;0;2;0;216941642;100.0;94.108
1588320377994;1;1;item;1.0;1;ALL#SCHEDULERS;5751338;0;0;0;0;0;5751338;100.0;1.023
1588320377994;1;1;item;1.0;1;ALL#worker#0;20849764148;8350000000;0;0;2;3000000;20852764148;99.986;83.704
1588320377994;1;1;item;1.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#websales_home_myshop;4237273;0;0;0;0;0;4237273;100.0;1.017
