TimeStamp;NodeID;NodeCount;Schema;SF;WorkerCount;Item name;CPU ns;USER ns;BLOCKED#;BLOCKED ns;WAITED#;WAITED ns;SUMM all times;Running %;Running total%
1646380231774;1;1;multitable;1.0;1;ALL#SCHEDULERS;4868289;0;0;0;0;0;4868289;100.0;3.203
1646380231774;1;1;multitable;1.0;1;ALL#worker#0;196663434;170000000;0;0;8;10000000;206663434;95.161;89.988
1646380231774;1;1;multitable;1.0;1;All#PausedThread;8286272;0;0;0;0;0;8286272;100.0;4.749
1646380231774;1;1;multitable;1.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#item;262369;0;0;0;0;0;262369;100.0;1.119
1646380231774;1;1;multitable;1.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#store;2965439;0;0;0;0;0;2965439;100.0;2.342
1646380231774;1;1;multitable;1.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#web_returns;210780;0;0;0;0;0;210780;100.0;1.095
1646380231774;1;1;multitable;1.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#web_sales;212494;0;0;0;0;0;212494;100.0;1.096
1646380231774;1;1;multitable;1.0;1;pdgf.core.dataGenerator.worker.RowWorker#worker#0;196546134;170000000;0;0;8;10000000;206546134;95.158;89.935
1646380409033;1;1;multitable;1.0;1;ALL#SCHEDULERS;4684355;0;0;0;0;0;4684355;100.0;3.478
1646380409033;1;1;multitable;1.0;1;ALL#worker#0;166959784;130000000;0;0;8;9000000;175959784;94.885;89.339
1646380409033;1;1;multitable;1.0;1;All#PausedThread;7922481;0;0;0;0;0;7922481;100.0;5.192
1646380409033;1;1;multitable;1.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#item;236555;0;0;0;0;0;236555;100.0;1.125
1646380409033;1;1;multitable;1.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#store;2886954;0;0;0;0;0;2886954;100.0;2.527
1646380409033;1;1;multitable;1.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#web_returns;160962;0;0;0;0;0;160962;99.999;1.085
1646380409033;1;1;multitable;1.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#web_sales;239293;0;0;0;0;0;239293;100.0;1.127
1646380409033;1;1;multitable;1.0;1;pdgf.core.dataGenerator.worker.RowWorker#worker#0;166865484;130000000;0;0;8;9000000;175865484;94.882;89.289
1646384440829;1;1;multitable;1.0;1;ALL#SCHEDULERS;5210232;0;0;0;0;0;5210232;100.0;2.951
1646384440829;1;1;multitable;1.0;1;ALL#worker#0;244356349;210000000;0;0;8;9000000;253356349;96.448;92.519
1646384440829;1;1;multitable;1.0;1;All#PausedThread;7789293;0;0;0;0;0;7789293;100.0;3.917
1646384440829;1;1;multitable;1.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#item;272857;0;0;0;0;0;272857;100.0;1.102
1646384440829;1;1;multitable;1.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#store;3181517;0;0;0;0;0;3181517;100.0;2.192
1646384440829;1;1;multitable;1.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#web_returns;189039;0;0;0;0;0;189039;99.999;1.071
1646384440829;1;1;multitable;1.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#web_sales;208446;0;0;0;0;0;208446;100.0;1.078
1646384440829;1;1;multitable;1.0;1;pdgf.core.dataGenerator.worker.RowWorker#worker#0;244236536;210000000;0;0;8;9000000;253236536;96.446;92.474
1646384853624;1;1;multitable;1.0;1;ALL#SCHEDULERS;5007548;0;0;0;0;0;5007548;100.0;2.675
1646384853624;1;1;multitable;1.0;1;ALL#worker#0;275819834;220000000;0;0;8;8000000;283819834;97.181;93.247
1646384853624;1;1;multitable;1.0;1;All#PausedThread;6652092;0;0;0;0;0;6652092;100.0;3.225
1646384853624;1;1;multitable;1.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#item;202479;0;0;0;0;0;202479;100.0;1.068
1646384853624;1;1;multitable;1.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#store;3074461;0;0;0;0;0;3074461;100.0;2.028
1646384853624;1;1;multitable;1.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#web_returns;212278;0;0;0;0;0;212278;100.0;1.071
1646384853624;1;1;multitable;1.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#web_sales;202846;0;0;0;0;0;202846;100.0;1.068
1646384853624;1;1;multitable;1.0;1;pdgf.core.dataGenerator.worker.RowWorker#worker#0;275726851;220000000;0;0;8;8000000;283726851;97.18;93.216
1646388677731;1;1;multitable;1.0;1;ALL#SCHEDULERS;4989616;0;0;0;0;0;4989616;100.0;2.299
1646388677731;1;1;multitable;1.0;1;ALL#worker#0;358117953;310000000;0;0;10;10000000;368117953;97.283;94.26
1646388677731;1;1;multitable;1.0;1;All#PausedThread;8537305;0;0;0;0;0;8537305;100.0;3.223
