0|原始原素全实木书柜书架北欧橡木玻璃门书橱简约书房收纳柜展示柜|2480.00|玻璃书柜|{'品牌': '原始原素', '型号': 'NW-SG117', '材质': '木', '木质材质': '橡木', '风格': '简约现代', '颜色分类': '原木色—单门书柜【470*320*1900mm】原木色—两门书柜【820*320*1900mm】原木色—两门书柜【1000*320*1900mm】胡桃色—单门书柜【470*320*1900mm】胡桃色—两门书柜【820*320*1900mm】胡桃色—两门书柜【1000*320*1900mm】', '毛重': '50', '是否带柜门': '是', '门数量': '2门', '隔板是否可调节': '可调节', '隔板厚度': '20mm', '是否可定制': '否', '是否带书架': '是', '附加功能': '储藏', '适用对象': '成人', '宽度': '0.8-1米宽', '家具结构': '框架结构', '可送货/安装': '南昌市哈尔滨市大连市沈阳市西安市贵阳市郑州市金华市长沙市常州市', '产地': '山东省', '地市': '青岛市', '区县': '城阳区', '是否组装': '整装', '包装体积': '0.7', '是否可预售': '是', '出租车是否可运输': '否', '设计元素': '其他卯榫原木拼接', '款式定位': '经济型'}
1|原始原素全实木书柜展示柜北欧现代简约书房置物架橡木玻璃门书架|2750.00|塑料书柜|{'品牌': '原始原素', '型号': 'SER2335GH', '材质': '木', '木质材质': '橡木', '风格': '简约现代', '颜色分类': '原木色-玻璃门书柜A款(900*350*2000mm)原木色-玻璃门书柜B款(900*350*2000mm)原木色-0.6米宽三抽书柜(600*350*2000mm)胡桃色-玻璃门书柜A款(900*350*2000mm)胡桃色-玻璃门书柜B款(900*350*2000mm)胡桃色-0.6米宽三抽书柜(600*350*2000mm)', '毛重': '100', '隔板是否可调节': '不可调节', '隔板厚度': '其他/other', '是否可定制': '否', '是否带书架': '否', '附加功能': '储藏', '适用对象': '成人', '宽度': '0.8-1米宽', '家具结构': '框架结构', '可送货/安装': '全部城市北京南昌市哈尔滨市大连市沈阳市西安市贵阳市郑州市金华市长沙市常州市成都市东莞市佛山市福州市广州市杭州市南京市南宁市宁波市青岛市上海深圳市苏州市台州市天津温州市无锡市武汉市厦门市重庆', '产地': '山东省', '地市': '青岛市', '区县': '城阳区', '是否组装': '整装', '包装体积': '1.0', '是否可预售': '否', '出租车是否可运输': '否', '设计元素': '卯榫原木', '款式定位': '经济型', '安装说明详情': '提供安装说明书提供简单安装工具'}
2|原始原素全实木书架北欧橡木书柜置物架展示柜子简约书房环保家具|2299.00|塑料书柜|{'品牌': '原始原素', '型号': 'NW-SJ118', '材质': '木', '木质材质': '橡木', '风格': '欧式', '颜色分类': '原木色-单抽书架-【600*320*1900mm】原木色-两抽书架-【820*320*1900mm】原木色-两抽书架-【1000*320*1900mm】胡桃色-单抽书架-【600*320*1900mm】胡桃色-两抽书架-【820*320*1900mm】胡桃色-两抽书架-【1000*320*1900mm】', '毛重': '30', '是否带柜门': '否', '隔板是否可调节': '可调节', '隔板厚度': '20mm', '是否可定制': '否', '附加功能': '储藏', '适用对象': '成人', '宽度': '0.8-1米宽', '家具结构': '框架结构', '可送货/安装': '南昌市哈尔滨市大连市沈阳市西安市贵阳市郑州市金华市长沙市常州市成都市东莞市佛山市福州市广州市杭州市南京市', '产地': '山东省', '地市': '青岛市', '区县': '城阳区', '是否组装': '整装', '包装体积': '0.6', '是否可预售': '否', '出租车是否可运输': '否', '设计元素': '卯榫原木拼接', '款式定位': '经济型'}
3|原始原素全实木儿童书架书柜北欧现代简约落地置物架简易收纳柜|1527.00|实木书柜|{'品牌': '原始原素', '型号': 'AL-SJ4106-1', '材质': '木', '颜色分类': '原木色-2抽5层-0.6米(600*330*1112mm)原木色-2抽5层-0.78米(780*330*1112mm)', '毛重': '40', '可送货/安装': '上海其他北京南京市南昌市哈尔滨市大连市天津广州市成都市杭州市武汉市沈阳市深圳市温州市苏州市西安市贵阳市郑州市重庆金华市长沙市东莞市宁波市福州市青岛市无锡市台州市常州市佛山市厦门市南宁市', '产地': '山东省', '地市': '青岛市', '区县': '城阳区', '包装体积': '0.5', '出租车是否可运输': '否', '设计元素': '其他卯榫原木大师设计', '款式定位': '经济型', '安装说明详情': '提供安装说明书提供简单安装工具'}
4|原始原素北欧全实木组合书架 橡木环保家具带抽屉置物架简约书柜|2200.00|塑料书柜|{'品牌': '原始原素', '型号': 'DM-SJ1118-1', '颜色分类': '原木色-低书架【700*320*1240mm】原木色-中书架【700*320*1580mm】原木色-高书架【700*320*1920mm】', '可送货/安装': '上海其他北京南京市南昌市哈尔滨市大连市天津广州市成都市杭州市武汉市沈阳市深圳市温州市苏州市西安市贵阳市郑州市重庆金华市长沙市东莞市宁波市福州市青岛市无锡市台州市常州市佛山市厦门市南宁市', '产地': '山东省', '地市': '青岛市', '区县': '城阳区', '包装体积': '0.8', '出租车是否可运输': '否', '设计元素': '卯榫原木拼接', '款式定位': '经济型', '安装说明详情': '提供安装说明书提供简单安装工具'}
5|原始原素北欧全实木书柜组合玻璃书架单双门书橱橡木柜子书房家具|2089.00|金属书柜|{'品牌': '原始原素', '型号': 'DM-SG1117', '材质': '木', '木质材质': '橡木', '风格': '简约现代', '颜色分类': '原木色-单门【410*320*1800mm】原木色-双门【790*320*1800mm】', '毛重': '65', '饰面材质': '其他/other', '是否带柜门': '是', '门数量': '2门', '隔板是否可调节': '可调节', '隔板厚度': '20mm', '是否可定制': '否', '附加功能': '储藏', '适用对象': '成人', '宽度': '0.6-0.8米宽', '家具结构': '框架结构', '可送货/安装': '北京长沙市常州市东莞市广州市南京市宁波市青岛市上海深圳市苏州市', '产地': '山东省', '地市': '青岛市', '区县': '城阳区', '是否组装': '整装', '包装体积': '0.5', '是否可预售': '否', '出租车是否可运输': '否', '设计元素': '其他卯榫原木拼接', '款式定位': '经济型'}
6|原始原素北欧全实木书架橡木书房家具简约现代边柜书柜展示陈列架|1878.00|塑料书柜|{'品牌': '原始原素', '型号': 'SLS-SJ1706', '颜色分类': '原木色-低书架+高柜腿(650*320*1290)原木色-高书架+高柜腿(650*320*1660)原木色-低书架+低柜腿(650*320*1100)原木色-高书架+低柜腿(650*320*1470)胡桃色-低书架+高柜腿(650*320*1290)胡桃色-高书架+高柜腿(650*320*1660)胡桃色-低书架+低柜腿(650*320*1100)胡桃色-高书架+低柜腿(650*320*1470)', '毛重': '30', '可送货/安装': '上海其他北京南京市南昌市哈尔滨市大连市天津广州市成都市杭州市武汉市沈阳市深圳市温州市苏州市西安市贵阳市郑州市重庆金华市长沙市东莞市宁波市福州市青岛市无锡市台州市常州市佛山市厦门市南宁市', '产地': '山东省', '地市': '青岛市', '区县': '城阳区', '包装体积': '0.5', '出租车是否可运输': '否', '设计元素': '卯榫原木拼接', '款式定位': '经济型'}
7|原始原素全实木书柜北欧简约现代橡木书架环保书房收纳储物置物架|3480.00|竹质书柜|{'品牌': '原始原素', '型号': 'dddd', '材质': '木', '木质材质': '橡木', '风格': '简约现代', '颜色分类': '原木色-A款(850*350*1800)原木色-B款(850*350*1800)', '毛重': '80', '是否带柜门': '是', '门数量': '单门', '隔板是否可调节': '不可调节', '隔板厚度': '20mm', '是否可定制': '否', '是否带书架': '否', '附加功能': '储藏', '适用对象': '成人', '宽度': '0.8-1米宽', '家具结构': '框架结构', '可送货/安装': '全部城市北京南昌市哈尔滨市大连市沈阳市西安市贵阳市郑州市金华市长沙市常州市成都市东莞市佛山市福州市广州市杭州市南京市南宁市宁波市青岛市上海深圳市苏州市台州市天津温州市无锡市武汉市厦门市重庆', '产地': '山东省', '地市': '青岛市', '区县': '城阳区', '是否组装': '整装', '包装体积': '0.8', '是否可预售': '否', '出租车是否可运输': '否', '设计元素': '其他卯榫原木', '款式定位': '经济型', '安装说明详情': '提供安装说明书提供简单安装工具'}
8|原始原素全实木书架组合书柜简约现代北欧橡木置物架展示柜收纳架|4760.00|塑料书柜|{'品牌': '原始原素', '型号': 'GL-SG2203', '颜色分类': '单列低3格(无门)双列低6格(无门)三列低9格(无门)单列高5格(无门)双列高10格(无门)三列高15格(无门)双列低6格(配平板门*3)双列高10格(配平板门*5)三列低9格(配平板门*3)三列高15格(配平板门*5)双列低6格(配栅栏门*3)双列高10格(配栅栏门*5)三列低9格(配栅栏门*板3)三列高15格(配栅栏门*5)双列低6格(配平板门*2+栅栏门*1)双列高10格(配平板门*3+栅栏门*2)三列低9格(配平板门*2+栅栏门*1)三列高15格(配平板门*3+栅栏门*2)DIY搭配门板/装饰盒需咨询客服另拍', '毛重': '100', '可送货/安装': '上海其他北京广州市杭州市温州市苏州市青岛市无锡市常州市佛山市', '产地': '山东省', '地市': '青岛市', '区县': '城阳区', '包装体积': '1.4', '出租车是否可运输': '否', '设计元素': '其他卯榫原木', '款式定位': '经济型'}
9|原始原素全实木书柜自由组合书架橡木展示柜北欧现代书房创意书橱|769.00|塑料书柜|{'品牌': '原始原素', '型号': 'nwBsjyms', '颜色分类': '低3格1列-365*280*1160mm低6格2列-715*280*1160mm低9格3列-1065*280*1160mm高5格1列-365*280*1860mm高10格2列-715*280*1860mm高15格3列-1065*280*1860mm高15格3列+高5格1列高15格3列+高10格2列高15格3列+高15格3列低6格2列+低6格2列低9格3列+低9格3列高10格2列+低6格2列高10格2列+低9格3列高15格3列+低9格3列高10格2列+低9格3列+低6格2列+高5格1列高10格2列+低9格3列+高15格3列高10格2列+低9格3列+低6格2列高15格3列+低9格3列+低6格2列+高10格2列', '毛重': '120', '可送货/安装': '上海其他北京南京市南昌市哈尔滨市大连市天津广州市成都市杭州市武汉市沈阳市深圳市温州市苏州市西安市贵阳市郑州市重庆金华市长沙市东莞市宁波市福州市青岛市无锡市台州市常州市佛山市厦门市南宁市', '产地': '山东省', '地市': '青岛市', '区县': '城阳区', '包装体积': '2', '出租车是否可运输': '否', '设计元素': '其他卯榫原木', '款式定位': '经济型', '安装说明详情': '提供安装说明书提供简单安装工具'}
